model,language,peak_layer,peak_auroc,n_test
Qwen3-0.6B,Arabic,18,0.839,440
Qwen3-1.7B,Arabic,19,0.802,440
Qwen3-4B,Arabic,25,0.797,440
Qwen3-8B,Arabic,28,0.779,440
Qwen3.5-4B,Arabic,18,0.797,440
Qwen3.5-9B,Arabic,10,0.778,440
gpt-oss-20b_low,Arabic,15,0.77,440
gpt-oss-20b_high,Arabic,9,0.766,440
Qwen3-0.6B,Chinese,18,0.789,440
Qwen3-1.7B,Chinese,19,0.789,440
Qwen3-4B,Chinese,23,0.744,440
Qwen3-8B,Chinese,35,0.796,440
Qwen3.5-4B,Chinese,19,0.819,440
Qwen3.5-9B,Chinese,29,0.734,440
gpt-oss-20b_low,Chinese,16,0.771,440
gpt-oss-20b_high,Chinese,21,0.75,440
Qwen3-0.6B,English,21,0.832,440
Qwen3-1.7B,English,20,0.805,440
Qwen3-4B,English,34,0.795,440
Qwen3-8B,English,22,0.77,440
Qwen3.5-4B,English,12,0.828,440
Qwen3.5-9B,English,14,0.747,440
gpt-oss-20b_low,English,13,0.748,440
gpt-oss-20b_high,English,18,0.757,440
Qwen3-0.6B,French,22,0.83,440
Qwen3-1.7B,French,19,0.795,440
Qwen3-4B,French,19,0.761,440
Qwen3-8B,French,21,0.774,440
Qwen3.5-4B,French,28,0.768,440
Qwen3.5-9B,French,11,0.763,440
gpt-oss-20b_low,French,16,0.764,440
gpt-oss-20b_high,French,11,0.821,440
Qwen3-0.6B,Italian,21,0.822,440
Qwen3-1.7B,Italian,19,0.796,440
Qwen3-4B,Italian,26,0.731,440
Qwen3-8B,Italian,24,0.766,440
Qwen3.5-4B,Italian,20,0.773,440
Qwen3.5-9B,Italian,19,0.791,440
gpt-oss-20b_low,Italian,12,0.764,440
gpt-oss-20b_high,Italian,16,0.778,440
Qwen3-0.6B,Russian,10,0.858,440
Qwen3-1.7B,Russian,15,0.801,440
Qwen3-4B,Russian,25,0.766,440
Qwen3-8B,Russian,22,0.789,440
Qwen3.5-4B,Russian,16,0.785,440
Qwen3.5-9B,Russian,18,0.833,440
gpt-oss-20b_low,Russian,17,0.734,440
gpt-oss-20b_high,Russian,16,0.756,440
Qwen3-0.6B,Swahili,18,0.884,440
Qwen3-1.7B,Swahili,17,0.891,440
Qwen3-4B,Swahili,17,0.823,440
Qwen3-8B,Swahili,29,0.791,440
Qwen3.5-4B,Swahili,18,0.8,440
Qwen3.5-9B,Swahili,24,0.778,440
gpt-oss-20b_low,Swahili,16,0.706,440
gpt-oss-20b_high,Swahili,22,0.744,440
Qwen3-0.6B,Telugu,13,0.878,440
Qwen3-1.7B,Telugu,25,0.824,440
Qwen3-4B,Telugu,22,0.801,440
Qwen3-8B,Telugu,23,0.801,440
Qwen3.5-4B,Telugu,21,0.854,440
Qwen3.5-9B,Telugu,14,0.81,440
gpt-oss-20b_low,Telugu,17,0.781,440
gpt-oss-20b_high,Telugu,19,0.76,440
Qwen3-0.6B,Thai,19,0.854,440
Qwen3-1.7B,Thai,26,0.806,440
Qwen3-4B,Thai,23,0.777,440
Qwen3-8B,Thai,24,0.787,440
Qwen3.5-4B,Thai,20,0.812,440
Qwen3.5-9B,Thai,18,0.816,440
gpt-oss-20b_low,Thai,19,0.717,440
gpt-oss-20b_high,Thai,12,0.706,440
Qwen3-0.6B,Turkish,25,0.819,440
Qwen3-1.7B,Turkish,20,0.819,440
Qwen3-4B,Turkish,24,0.796,440
Qwen3-8B,Turkish,23,0.759,440
Qwen3.5-4B,Turkish,30,0.781,440
Qwen3.5-9B,Turkish,26,0.727,440
gpt-oss-20b_low,Turkish,17,0.75,440
gpt-oss-20b_high,Turkish,17,0.747,440
